,logFC,logCPM,PValue,FDR
hsa-miR-23a-5p,0.47374156,6.974082669,0.16910507,1
hsa-miR-381-5p,0.561790467,7.53153491,0.169161698,1
hsa-miR-634,0.547367535,5.199517905,0.169374338,1
hsa-miR-4786-3p,-0.468057284,5.987766145,0.170293659,1
hsa-miR-4705,-1.249104476,4.632931491,0.170646996,1
hsa-miR-711,-0.477295149,5.73666931,0.170882921,1
hsa-miR-1298-3p,0.946765484,4.740097527,0.171038976,1
hsa-miR-1292-5p,-0.432635834,8.473316043,0.171098062,1
hsa-miR-1205,0.59726016,5.108937866,0.171165482,1
hsa-miR-4999-3p,-0.8643794,5.386764782,0.171235988,1
hsa-miR-6507-5p,-0.809047825,5.884170532,0.172138547,1
hsa-let-7a-5p,-0.59241655,16.1307921,0.17241031,1
hsa-miR-451b,-0.923265627,5.743362997,0.172542254,1
hsa-miR-4655-3p,-0.472917618,9.037508444,0.17267291,1
hsa-miR-4638-5p,0.470141333,7.951692654,0.172919252,1
hsa-miR-378a-5p,-0.670925666,5.406147054,0.17376121,1
hsa-miR-6794-3p,-0.565406273,7.603604887,0.174350905,1
hsa-miR-487a-3p,0.834764538,4.867413351,0.174677163,1
hsa-miR-25-3p,-0.502279276,11.91128567,0.174988114,1
hsa-miR-4487,-0.47035538,6.638714141,0.175074886,1
hsa-miR-30e-5p,-0.597283488,10.91443264,0.175228286,1
hsa-miR-4646-5p,-0.727473316,5.086704904,0.176095808,1
hsa-miR-3661,-0.54511012,6.452846019,0.176120675,1
hsa-miR-146a-5p,-0.480989553,10.76987561,0.176698313,1
hsa-miR-4251,-0.760359463,6.021218923,0.177053496,1
hsa-miR-27a-5p,0.515391703,5.16234681,0.177070132,1
hsa-miR-614,-0.756390807,11.01253273,0.177190293,1
hsa-miR-4757-3p,-0.711718564,5.992659177,0.178219777,1
hsa-miR-6515-3p,0.943236951,8.799674209,0.178465413,1
hsa-miR-5087,0.473937345,5.722925824,0.178720924,1
hsa-miR-4315,0.578038162,8.767419267,0.179845017,1
hsa-miR-4457,-0.641782451,5.733203307,0.179910296,1
hsa-miR-211-3p,0.471369614,5.905855616,0.180289291,1
hsa-miR-335-5p,-0.531652023,7.580877538,0.18077991,1
hsa-miR-6849-3p,0.72235082,4.797849503,0.182270701,1
hsa-miR-124-3p,0.465471751,6.051606604,0.182559946,1
hsa-miR-4425,0.745712695,4.923145347,0.186283261,1
hsa-miR-6801-5p,-0.642464781,5.902900077,0.186749296,1
hsa-miR-6088,-0.684825343,7.764601176,0.187993308,1
hsa-miR-542-5p,-0.458614817,8.096042763,0.188317316,1
hsa-miR-4775,0.721558896,6.088996083,0.18842247,1
hsa-miR-4647,-0.615492126,5.844300357,0.188433435,1
hsa-miR-4418,-2.200077948,3.416041621,0.189087955,1
hsa-miR-758-5p,0.673064422,4.765533995,0.18909818,1
hsa-miR-4295,-2.169725401,4.010062805,0.189192586,1
hsa-miR-2681-3p,0.458219589,6.34913657,0.189274051,1
hsa-miR-670-5p,0.669351898,7.457480434,0.189491698,1
hsa-miR-6740-5p,-0.462001484,5.345412462,0.18953657,1
hsa-miR-342-3p,-0.447551041,8.998782621,0.190073693,1
hsa-miR-5699-5p,-0.488856807,7.298618184,0.190141273,1
hsa-miR-4482-5p,-0.471794425,9.399783463,0.191485658,1
hsa-miR-3612,0.487832643,5.568025101,0.191757241,1
hsa-miR-551b-3p,-2.032117598,4.072897355,0.192115489,1
hsa-miR-432-3p,-0.50315527,7.68053578,0.193857817,1
hsa-miR-301b-5p,0.744370163,4.754694294,0.194146474,1
hsa-miR-6724-5p,-0.502482414,7.898594525,0.194169647,1
hsa-miR-5703,0.695410824,6.775657327,0.194958192,1
hsa-miR-450b-5p,-0.499332202,9.741638027,0.195817559,1
hsa-miR-6838-3p,-1.425705839,4.43675926,0.196882982,1
hsa-miR-188-5p,0.557682919,5.025648192,0.197177558,1
hsa-miR-22-5p,0.520621196,6.240402536,0.197286343,1
hsa-miR-202-3p,-0.706448737,13.03554588,0.199057732,1
